Weld_Type,Filler,x_mm,R1_HV,R2_HV,R3_HV,Mean_HV,StdDev_HV,Zone
X70-X70,E6018,-4.2,221.5,225.2,223.3,223.3,1.9,HAZ - X70
X70-X70,E6018,-4.1,214.6,205.6,216.8,212.3,5.9,HAZ - X70
X70-X70,E6018,-4.0,211.0,203.0,210.2,208.1,4.4,HAZ - X70
X70-X70,E6018,-3.9,195.0,200.1,202.9,199.3,4.0,HAZ - X70
X70-X70,E6018,-3.8,195.5,192.3,185.4,191.1,5.2,HAZ - X70
X70-X70,E6018,-3.7,192.0,190.4,188.1,190.2,2.0,Fusion Zone (E6018)
X70-X70,E6018,-3.6,192.1,198.4,194.4,195.0,3.2,Fusion Zone (E6018)
X70-X70,E6018,-3.5,189.5,192.0,187.6,189.7,2.2,Fusion Zone (E6018)
X70-X70,E6018,-3.4,191.2,187.2,203.7,194.0,8.6,Fusion Zone (E6018)
X70-X70,E6018,-3.3,192.2,203.1,188.8,194.7,7.5,Fusion Zone (E6018)
X70-X70,E6018,-3.2,188.1,194.2,195.1,192.5,3.8,Fusion Zone (E6018)
X70-X70,E6018,-3.1,193.7,194.0,196.1,194.6,1.3,Fusion Zone (E6018)
X70-X70,E6018,-3.0,179.5,203.4,200.9,194.6,13.1,Fusion Zone (E6018)
X70-X70,E6018,-2.9,189.1,191.4,194.7,191.7,2.8,Fusion Zone (E6018)
X70-X70,E6018,-2.8,191.8,199.3,197.3,196.1,3.9,Fusion Zone (E6018)
X70-X70,E6018,-2.7,202.5,194.9,199.6,199.0,3.8,Fusion Zone (E6018)
X70-X70,E6018,-2.6,194.8,194.8,193.6,194.4,0.7,Fusion Zone (E6018)
X70-X70,E6018,-2.5,202.1,192.5,186.6,193.7,7.8,Fusion Zone (E6018)
X70-X70,E6018,-2.4,194.4,195.0,201.9,197.1,4.2,Fusion Zone (E6018)
X70-X70,E6018,-2.3,190.6,199.2,195.1,195.0,4.3,Fusion Zone (E6018)
X70-X70,E6018,-2.2,193.7,186.9,200.6,193.7,6.9,Fusion Zone (E6018)
X70-X70,E6018,-2.1,197.2,193.1,186.5,192.3,5.4,Fusion Zone (E6018)
X70-X70,E6018,-2.0,189.8,181.9,190.9,187.5,4.9,Fusion Zone (E6018)
X70-X70,E6018,-1.9,194.5,189.2,194.3,192.7,3.0,Fusion Zone (E6018)
X70-X70,E6018,-1.8,188.9,192.1,196.8,192.6,4.0,Fusion Zone (E6018)
X70-X70,E6018,-1.7,190.9,188.3,195.9,191.7,3.9,Fusion Zone (E6018)
X70-X70,E6018,-1.6,191.2,190.1,186.6,189.3,2.4,Fusion Zone (E6018)
X70-X70,E6018,-1.5,182.7,196.3,191.5,190.2,6.9,Fusion Zone (E6018)
X70-X70,E6018,-1.4,181.3,188.6,195.5,188.5,7.1,Fusion Zone (E6018)
X70-X70,E6018,-1.3,198.3,194.8,193.5,195.5,2.5,Fusion Zone (E6018)
X70-X70,E6018,-1.2,209.7,185.4,192.9,196.0,12.4,Fusion Zone (E6018)
X70-X70,E6018,-1.1,192.5,193.1,187.5,191.0,3.1,Fusion Zone (E6018)
X70-X70,E6018,-1.0,199.5,197.0,196.4,197.6,1.6,Fusion Zone (E6018)
X70-X70,E6018,-0.9,191.7,178.9,194.8,188.5,8.4,Fusion Zone (E6018)
X70-X70,E6018,-0.8,194.9,188.4,191.2,191.5,3.3,Fusion Zone (E6018)
X70-X70,E6018,-0.7,195.6,190.1,182.4,189.4,6.6,Fusion Zone (E6018)
X70-X70,E6018,-0.6,185.9,195.3,200.3,193.8,7.3,Fusion Zone (E6018)
X70-X70,E6018,-0.5,192.9,196.3,199.0,196.1,3.1,Fusion Zone (E6018)
X70-X70,E6018,-0.4,187.0,188.3,205.5,193.6,10.3,Fusion Zone (E6018)
X70-X70,E6018,-0.3,190.7,189.9,183.5,188.0,3.9,Fusion Zone (E6018)
X70-X70,E6018,-0.2,188.2,191.3,196.0,191.8,3.9,Fusion Zone (E6018)
X70-X70,E6018,-0.1,183.8,182.1,185.2,183.7,1.6,Fusion Zone (E6018)
X70-X70,E6018,0.0,197.9,190.8,186.7,191.8,5.7,Fusion Zone (E6018)
X70-X70,E6018,0.1,195.1,187.3,180.0,187.5,7.6,Fusion Zone (E6018)
X70-X70,E6018,0.2,197.9,195.0,187.6,193.5,5.3,Fusion Zone (E6018)
X70-X70,E6018,0.3,196.6,193.3,191.9,193.9,2.4,Fusion Zone (E6018)
X70-X70,E6018,0.4,196.1,192.5,189.7,192.8,3.2,Fusion Zone (E6018)
X70-X70,E6018,0.5,189.2,188.8,181.9,186.6,4.1,Fusion Zone (E6018)
X70-X70,E6018,0.6,187.0,193.0,193.0,191.0,3.5,Fusion Zone (E6018)
X70-X70,E6018,0.7,198.4,184.5,193.1,192.0,7.0,Fusion Zone (E6018)
X70-X70,E6018,0.8,199.8,185.3,192.4,192.5,7.3,Fusion Zone (E6018)
X70-X70,E6018,0.9,182.4,196.0,189.0,189.1,6.8,Fusion Zone (E6018)
X70-X70,E6018,1.0,183.2,201.4,185.5,190.0,9.9,Fusion Zone (E6018)
X70-X70,E6018,1.1,197.9,195.7,204.5,199.4,4.6,Fusion Zone (E6018)
X70-X70,E6018,1.2,202.1,186.2,193.2,193.8,8.0,Fusion Zone (E6018)
X70-X70,E6018,1.3,193.0,199.5,191.3,194.6,4.3,Fusion Zone (E6018)
X70-X70,E6018,1.4,188.1,189.9,195.7,191.2,4.0,Fusion Zone (E6018)
X70-X70,E6018,1.5,190.4,191.3,186.6,189.4,2.5,Fusion Zone (E6018)
X70-X70,E6018,1.6,190.4,198.3,186.9,191.9,5.8,Fusion Zone (E6018)
X70-X70,E6018,1.7,191.3,197.0,186.7,191.7,5.2,Fusion Zone (E6018)
X70-X70,E6018,1.8,201.7,188.9,187.3,192.6,7.9,Fusion Zone (E6018)
X70-X70,E6018,1.9,189.5,196.2,193.9,193.2,3.4,Fusion Zone (E6018)
X70-X70,E6018,2.0,197.2,185.7,196.1,193.0,6.3,Fusion Zone (E6018)
X70-X70,E6018,2.1,196.2,195.8,188.3,193.4,4.5,Fusion Zone (E6018)
X70-X70,E6018,2.2,187.0,194.3,184.7,188.7,5.0,Fusion Zone (E6018)
X70-X70,E6018,2.3,188.7,201.3,191.3,193.8,6.7,Fusion Zone (E6018)
X70-X70,E6018,2.4,186.7,191.5,178.9,185.7,6.4,Fusion Zone (E6018)
X70-X70,E6018,2.5,189.7,190.8,191.6,190.7,1.0,Fusion Zone (E6018)
X70-X70,E6018,2.6,193.8,189.6,188.4,190.6,2.8,Fusion Zone (E6018)
X70-X70,E6018,2.7,191.8,187.3,194.0,191.0,3.4,Fusion Zone (E6018)
X70-X70,E6018,2.8,187.0,192.7,186.1,188.6,3.6,Fusion Zone (E6018)
X70-X70,E6018,2.9,193.3,202.4,195.0,196.9,4.8,Fusion Zone (E6018)
X70-X70,E6018,3.0,206.6,188.4,186.3,193.8,11.2,Fusion Zone (E6018)
X70-X70,E6018,3.1,191.3,188.2,188.3,189.3,1.8,Fusion Zone (E6018)
X70-X70,E6018,3.2,193.4,193.2,192.4,193.0,0.5,Fusion Zone (E6018)
X70-X70,E6018,3.3,195.4,192.2,205.8,197.8,7.1,Fusion Zone (E6018)
X70-X70,E6018,3.4,188.9,187.2,202.1,192.7,8.2,Fusion Zone (E6018)
X70-X70,E6018,3.5,187.3,201.7,187.1,192.0,8.4,Fusion Zone (E6018)
X70-X70,E6018,3.6,186.5,190.0,192.5,189.7,3.0,Fusion Zone (E6018)
X70-X70,E6018,3.7,195.7,198.8,192.9,195.8,3.0,Fusion Zone (E6018)
X70-X70,E6018,3.8,193.8,189.5,206.6,196.6,8.9,HAZ - X70
X70-X70,E6018,3.9,198.9,193.8,190.5,194.4,4.2,HAZ - X70
X70-X70,E6018,4.0,198.6,201.7,194.4,198.2,3.7,HAZ - X70
X70-X70,E6018,4.1,201.6,201.3,218.5,207.1,9.8,HAZ - X70
X70-X70,E6018,4.2,217.5,220.7,221.9,220.0,2.3,HAZ - X70
X70-X70,E6018,4.3,237.8,230.2,231.1,233.0,4.2,HAZ - X70
X70-X70,E6018,4.4,242.4,243.7,231.8,239.3,6.5,HAZ - X70
X70-X70,E6018,4.5,245.9,251.5,244.2,247.2,3.8,HAZ - X70
X70-X70,E6018,4.6,248.3,241.9,255.2,248.5,6.7,HAZ - X70
X70-X70,E6018,4.7,251.3,249.5,245.7,248.8,2.9,HAZ - X70
X70-X70,E6018,4.8,233.5,235.1,234.1,234.2,0.8,HAZ - X70
X70-X70,E6018,4.9,229.5,221.1,226.3,225.6,4.2,HAZ - X70
X70-X70,E6018,5.0,221.8,213.3,226.0,220.4,6.5,Base Metal - X70
X70-X70,E6018,5.1,213.7,218.6,219.1,217.1,3.0,Base Metal - X70
X70-X70,E6018,5.2,221.9,218.4,220.0,220.1,1.8,Base Metal - X70
X70-X70,E6018,5.3,222.5,218.4,216.3,219.1,3.2,Base Metal - X70
X70-X70,E6018,5.4,210.5,218.4,223.1,217.3,6.4,Base Metal - X70
X70-X70,E6018,5.5,220.9,219.5,215.7,218.7,2.7,Base Metal - X70
X70-X70,E6018,5.6,214.1,212.5,219.4,215.3,3.6,Base Metal - X70
X70-X70,E6018,5.7,222.5,215.2,224.8,220.8,5.0,Base Metal - X70
X70-X70,E6018,5.8,212.9,221.4,211.2,215.2,5.5,Base Metal - X70
X70-X70,E6018,5.9,221.7,230.0,215.8,222.5,7.1,Base Metal - X70
X70-X70,E6018,6.0,225.4,222.9,220.2,222.8,2.6,Base Metal - X70
X70-X70,E6018,6.1,216.4,219.2,222.4,219.3,3.0,Base Metal - X70
X70-X70,E6018,6.2,220.0,212.5,217.7,216.7,3.8,Base Metal - X70
X70-X70,E6018,6.3,220.2,213.1,226.7,220.0,6.8,Base Metal - X70
X70-X70,E6018,6.4,212.6,218.0,217.0,215.9,2.9,Base Metal - X70
X70-X70,E6018,6.5,227.4,226.5,216.4,223.4,6.1,Base Metal - X70
X70-X70,E6018,6.6,209.2,226.5,218.9,218.2,8.7,Base Metal - X70
X70-X70,E6018,6.7,210.7,225.1,204.6,213.5,10.5,Base Metal - X70
X70-X70,E6018,6.8,209.1,218.9,211.8,213.3,5.1,Base Metal - X70
X70-X70,E6018,6.9,214.2,213.5,206.6,211.4,4.2,Base Metal - X70
X70-X70,E6018,7.0,217.3,211.4,220.9,216.5,4.8,Base Metal - X70
X70-X70,E6018,7.1,207.8,221.3,214.1,214.4,6.8,Base Metal - X70
X70-X70,E6018,7.2,207.4,207.0,213.5,209.3,3.6,Base Metal - X70
X70-X70,E6018,7.3,213.5,224.6,213.2,217.1,6.5,Base Metal - X70
X70-X70,E6018,7.4,214.0,213.1,223.2,216.8,5.6,Base Metal - X70
X70-X70,E6018,7.5,209.8,213.3,214.8,212.6,2.6,Base Metal - X70
X70-X70,E6018,7.6,227.9,214.3,215.8,219.3,7.5,Base Metal - X70
X70-X70,E6018,7.7,211.6,206.8,213.7,210.7,3.5,Base Metal - X70
X70-X70,E6018,7.8,215.0,224.8,221.7,220.5,5.0,Base Metal - X70
X70-X70,E6018,7.9,210.7,217.1,209.3,212.4,4.2,Base Metal - X70
X70-X70,E6018,8.0,212.2,219.9,216.6,216.2,3.9,Base Metal - X70
S355-S355,E6018,-8.0,155.2,166.9,169.4,163.8,7.6,Base Metal - S355
S355-S355,E6018,-7.9,167.4,157.1,166.4,163.6,5.7,Base Metal - S355
S355-S355,E6018,-7.8,175.8,171.5,167.6,171.6,4.1,Base Metal - S355
S355-S355,E6018,-7.7,171.0,159.4,164.8,165.1,5.8,Base Metal - S355
S355-S355,E6018,-7.6,162.0,176.3,162.1,166.8,8.2,Base Metal - S355
S355-S355,E6018,-7.5,156.2,158.3,172.8,162.4,9.0,Base Metal - S355
S355-S355,E6018,-7.4,172.1,170.6,176.4,173.0,3.0,Base Metal - S355
S355-S355,E6018,-7.3,166.7,176.6,155.7,166.3,10.5,Base Metal - S355
S355-S355,E6018,-7.2,160.8,165.5,172.6,166.3,5.9,Base Metal - S355
S355-S355,E6018,-7.1,158.8,168.0,159.6,162.1,5.1,Base Metal - S355
S355-S355,E6018,-7.0,175.1,166.1,171.4,170.9,4.5,Base Metal - S355
S355-S355,E6018,-6.9,164.4,167.4,173.0,168.3,4.4,Base Metal - S355
S355-S355,E6018,-6.8,169.9,166.5,166.7,167.7,1.9,Base Metal - S355
S355-S355,E6018,-6.7,163.6,170.5,169.4,167.8,3.7,Base Metal - S355
S355-S355,E6018,-6.6,160.8,167.5,167.0,165.1,3.7,Base Metal - S355
S355-S355,E6018,-6.5,173.6,173.5,161.4,169.5,7.0,Base Metal - S355
S355-S355,E6018,-6.4,167.4,171.4,162.2,167.0,4.6,Base Metal - S355
S355-S355,E6018,-6.3,170.5,173.4,168.0,170.6,2.7,Base Metal - S355
S355-S355,E6018,-6.2,157.6,169.5,161.3,162.8,6.1,Base Metal - S355
S355-S355,E6018,-6.1,179.1,177.7,166.5,174.4,6.9,Base Metal - S355
S355-S355,E6018,-6.0,170.5,172.0,166.7,169.7,2.7,Base Metal - S355
S355-S355,E6018,-5.9,173.0,160.4,163.5,165.6,6.6,Base Metal - S355
S355-S355,E6018,-5.8,168.4,175.3,168.0,170.6,4.1,Base Metal - S355
S355-S355,E6018,-5.7,165.1,161.5,177.4,168.0,8.3,Base Metal - S355
S355-S355,E6018,-5.6,166.3,172.4,166.5,168.4,3.5,Base Metal - S355
S355-S355,E6018,-5.5,174.5,172.6,176.7,174.6,2.1,Base Metal - S355
S355-S355,E6018,-5.4,163.0,165.3,173.4,167.2,5.5,Base Metal - S355
S355-S355,E6018,-5.3,169.6,165.5,175.2,170.1,4.9,Base Metal - S355
S355-S355,E6018,-5.2,165.0,171.5,167.0,167.8,3.3,Base Metal - S355
S355-S355,E6018,-5.1,158.8,176.7,169.8,168.4,9.0,Base Metal - S355
S355-S355,E6018,-5.0,182.0,174.4,170.9,175.8,5.7,Base Metal - S355
S355-S355,E6018,-4.9,179.4,180.2,184.6,181.4,2.8,HAZ - S355
S355-S355,E6018,-4.8,193.6,180.1,190.2,188.0,7.0,HAZ - S355
S355-S355,E6018,-4.7,209.7,193.2,202.9,201.9,8.3,HAZ - S355
S355-S355,E6018,-4.6,212.2,206.7,205.8,208.2,3.5,HAZ - S355
S355-S355,E6018,-4.5,207.2,205.7,204.3,205.7,1.5,HAZ - S355
S355-S355,E6018,-4.4,209.0,200.7,198.7,202.8,5.5,HAZ - S355
S355-S355,E6018,-4.3,206.9,201.0,203.7,203.9,3.0,HAZ - S355
S355-S355,E6018,-4.2,191.1,187.9,189.0,189.3,1.6,HAZ - S355
S355-S355,E6018,-4.1,193.5,194.6,195.7,194.6,1.1,HAZ - S355
S355-S355,E6018,-4.0,186.5,202.0,192.6,193.7,7.8,HAZ - S355
S355-S355,E6018,-3.9,182.5,190.2,187.4,186.7,3.9,HAZ - S355
S355-S355,E6018,-3.8,185.5,182.9,181.6,183.3,2.0,HAZ - S355
S355-S355,E6018,-3.7,177.0,188.2,176.7,180.6,6.6,Fusion Zone (E6018)
S355-S355,E6018,-3.6,179.2,189.9,185.0,184.7,5.4,Fusion Zone (E6018)
S355-S355,E6018,-3.5,189.8,190.5,186.0,188.8,2.4,Fusion Zone (E6018)
S355-S355,E6018,-3.4,184.4,182.6,182.9,183.3,1.0,Fusion Zone (E6018)
S355-S355,E6018,-3.3,180.1,182.7,178.1,180.3,2.3,Fusion Zone (E6018)
S355-S355,E6018,-3.2,184.7,180.6,183.5,182.9,2.1,Fusion Zone (E6018)
S355-S355,E6018,-3.1,185.2,186.7,188.8,186.9,1.8,Fusion Zone (E6018)
S355-S355,E6018,-3.0,182.3,190.1,178.6,183.7,5.9,Fusion Zone (E6018)
S355-S355,E6018,-2.9,184.1,187.4,177.7,183.1,4.9,Fusion Zone (E6018)
S355-S355,E6018,-2.8,193.9,182.5,184.0,186.8,6.2,Fusion Zone (E6018)
S355-S355,E6018,-2.7,183.3,190.4,188.7,187.5,3.7,Fusion Zone (E6018)
S355-S355,E6018,-2.6,188.2,185.8,181.0,185.0,3.7,Fusion Zone (E6018)
S355-S355,E6018,-2.5,185.0,181.6,185.5,184.0,2.1,Fusion Zone (E6018)
S355-S355,E6018,-2.4,185.2,183.2,184.7,184.4,1.0,Fusion Zone (E6018)
S355-S355,E6018,-2.3,182.7,188.5,183.6,184.9,3.1,Fusion Zone (E6018)
S355-S355,E6018,-2.2,191.1,185.8,182.7,186.5,4.2,Fusion Zone (E6018)
S355-S355,E6018,-2.1,185.6,177.7,184.7,182.7,4.3,Fusion Zone (E6018)
S355-S355,E6018,-2.0,183.5,187.8,187.0,186.1,2.3,Fusion Zone (E6018)
S355-S355,E6018,-1.9,188.7,180.4,194.8,188.0,7.2,Fusion Zone (E6018)
S355-S355,E6018,-1.8,189.3,173.3,179.8,180.8,8.0,Fusion Zone (E6018)
S355-S355,E6018,-1.7,181.8,189.6,178.3,183.2,5.8,Fusion Zone (E6018)
S355-S355,E6018,-1.6,189.1,185.7,191.6,188.8,3.0,Fusion Zone (E6018)
S355-S355,E6018,-1.5,183.6,183.4,178.3,181.8,3.0,Fusion Zone (E6018)
S355-S355,E6018,-1.4,183.6,191.5,184.3,186.5,4.4,Fusion Zone (E6018)
S355-S355,E6018,-1.3,191.9,179.0,189.3,186.7,6.8,Fusion Zone (E6018)
S355-S355,E6018,-1.2,181.1,183.7,175.5,180.1,4.2,Fusion Zone (E6018)
S355-S355,E6018,-1.1,181.4,185.5,180.1,182.3,2.8,Fusion Zone (E6018)
S355-S355,E6018,-1.0,174.1,185.8,185.7,181.9,6.7,Fusion Zone (E6018)
S355-S355,E6018,-0.9,179.7,190.9,182.1,184.2,5.9,Fusion Zone (E6018)
S355-S355,E6018,-0.8,177.3,179.4,183.4,180.0,3.1,Fusion Zone (E6018)
S355-S355,E6018,-0.7,188.0,183.8,186.4,186.1,2.1,Fusion Zone (E6018)
S355-S355,E6018,-0.6,177.7,180.7,196.9,185.1,10.3,Fusion Zone (E6018)
S355-S355,E6018,-0.5,184.0,184.2,185.0,184.4,0.5,Fusion Zone (E6018)
S355-S355,E6018,-0.4,181.3,192.3,179.9,184.5,6.8,Fusion Zone (E6018)
S355-S355,E6018,-0.3,184.7,196.7,186.6,189.3,6.5,Fusion Zone (E6018)
S355-S355,E6018,-0.2,181.8,177.6,177.3,178.9,2.5,Fusion Zone (E6018)
S355-S355,E6018,-0.1,171.7,175.1,182.8,176.5,5.7,Fusion Zone (E6018)
S355-S355,E6018,0.0,189.1,178.1,189.6,185.6,6.5,Fusion Zone (E6018)
S355-S355,E6018,0.1,188.3,184.5,191.1,188.0,3.3,Fusion Zone (E6018)
S355-S355,E6018,0.2,196.8,193.2,180.7,190.2,8.5,Fusion Zone (E6018)
S355-S355,E6018,0.3,187.9,186.5,175.1,183.2,7.0,Fusion Zone (E6018)
S355-S355,E6018,0.4,181.3,182.0,179.6,181.0,1.2,Fusion Zone (E6018)
S355-S355,E6018,0.5,191.2,175.9,180.7,182.6,7.8,Fusion Zone (E6018)
S355-S355,E6018,0.6,183.3,186.3,182.8,184.1,1.9,Fusion Zone (E6018)
S355-S355,E6018,0.7,192.7,179.1,172.6,181.5,10.3,Fusion Zone (E6018)
S355-S355,E6018,0.8,176.3,188.4,179.3,181.3,6.3,Fusion Zone (E6018)
S355-S355,E6018,0.9,192.8,185.3,184.5,187.5,4.6,Fusion Zone (E6018)
S355-S355,E6018,1.0,186.5,185.7,179.2,183.8,4.0,Fusion Zone (E6018)
S355-S355,E6018,1.1,178.3,184.5,169.8,177.5,7.4,Fusion Zone (E6018)
S355-S355,E6018,1.2,180.6,184.9,185.3,183.6,2.6,Fusion Zone (E6018)
S355-S355,E6018,1.3,188.9,170.4,190.3,183.2,11.1,Fusion Zone (E6018)
S355-S355,E6018,1.4,182.0,192.7,181.6,185.4,6.3,Fusion Zone (E6018)
S355-S355,E6018,1.5,173.4,174.2,191.6,179.7,10.3,Fusion Zone (E6018)
S355-S355,E6018,1.6,191.0,181.9,184.2,185.7,4.7,Fusion Zone (E6018)
S355-S355,E6018,1.7,178.4,191.0,186.3,185.2,6.4,Fusion Zone (E6018)
S355-S355,E6018,1.8,190.3,188.0,181.5,186.6,4.6,Fusion Zone (E6018)
S355-S355,E6018,1.9,188.8,174.7,185.6,183.0,7.4,Fusion Zone (E6018)
S355-S355,E6018,2.0,190.1,184.6,187.0,187.2,2.8,Fusion Zone (E6018)
S355-S355,E6018,2.1,180.0,187.6,180.3,182.6,4.3,Fusion Zone (E6018)
S355-S355,E6018,2.2,183.8,197.5,185.5,188.9,7.5,Fusion Zone (E6018)
S355-S355,E6018,2.3,193.0,178.8,184.2,185.3,7.2,Fusion Zone (E6018)
S355-S355,E6018,2.4,178.3,174.0,192.7,181.7,9.8,Fusion Zone (E6018)
S355-S355,E6018,2.5,184.5,190.7,171.8,182.3,9.6,Fusion Zone (E6018)
S355-S355,E6018,2.6,189.2,184.7,185.8,186.6,2.3,Fusion Zone (E6018)
S355-S355,E6018,2.7,179.0,189.6,189.5,186.0,6.1,Fusion Zone (E6018)
S355-S355,E6018,2.8,184.8,184.4,195.5,188.2,6.3,Fusion Zone (E6018)
S355-S355,E6018,2.9,186.2,189.0,179.3,184.8,5.0,Fusion Zone (E6018)
S355-S355,E6018,3.0,184.9,178.6,179.6,181.0,3.4,Fusion Zone (E6018)
S355-S355,E6018,3.1,186.8,177.0,186.2,183.3,5.5,Fusion Zone (E6018)
S355-S355,E6018,3.2,178.9,186.9,189.3,185.0,5.4,Fusion Zone (E6018)
S355-S355,E6018,3.3,186.5,191.9,195.0,191.1,4.3,Fusion Zone (E6018)
S355-S355,E6018,3.4,190.9,190.2,184.6,188.6,3.5,Fusion Zone (E6018)
S355-S355,E6018,3.5,184.8,182.2,185.0,184.0,1.6,Fusion Zone (E6018)
S355-S355,E6018,3.6,189.5,178.6,185.2,184.4,5.5,Fusion Zone (E6018)
S355-S355,E6018,3.7,183.8,179.8,180.2,181.3,2.2,Fusion Zone (E6018)
S355-S355,E6018,3.8,178.7,185.9,184.1,182.9,3.7,HAZ - S355
S355-S355,E6018,3.9,178.2,185.3,189.2,184.2,5.6,HAZ - S355
S355-S355,E6018,4.0,188.6,201.2,183.8,191.2,9.0,HAZ - S355
S355-S355,E6018,4.1,191.7,195.3,190.1,192.4,2.7,HAZ - S355
S355-S355,E6018,4.2,195.7,202.9,196.1,198.2,4.0,HAZ - S355
S355-S355,E6018,4.3,195.0,201.3,205.3,200.5,5.2,HAZ - S355
S355-S355,E6018,4.4,212.0,199.5,214.2,208.6,7.9,HAZ - S355
S355-S355,E6018,4.5,204.6,208.4,203.0,205.3,2.8,HAZ - S355
S355-S355,E6018,4.6,207.9,208.9,209.3,208.7,0.7,HAZ - S355
S355-S355,E6018,4.7,205.6,200.7,200.4,202.2,2.9,HAZ - S355
S355-S355,E6018,4.8,192.0,186.5,193.7,190.7,3.8,HAZ - S355
S355-S355,E6018,4.9,165.2,165.2,179.7,170.0,8.4,HAZ - S355
S355-S355,E6018,5.0,170.9,176.3,162.0,169.7,7.2,Base Metal - S355
S355-S355,E6018,5.1,169.5,168.7,170.9,169.7,1.1,Base Metal - S355
S355-S355,E6018,5.2,166.2,180.2,177.8,174.7,7.5,Base Metal - S355
S355-S355,E6018,5.3,170.8,166.7,181.9,173.1,7.9,Base Metal - S355
S355-S355,E6018,5.4,171.6,168.6,180.3,173.5,6.1,Base Metal - S355
S355-S355,E6018,5.5,173.6,170.7,174.2,172.8,1.9,Base Metal - S355
S355-S355,E6018,5.6,162.7,172.7,174.6,170.0,6.4,Base Metal - S355
S355-S355,E6018,5.7,164.3,173.0,173.9,170.4,5.3,Base Metal - S355
S355-S355,E6018,5.8,170.1,167.8,170.9,169.6,1.6,Base Metal - S355
S355-S355,E6018,5.9,169.3,175.0,169.9,171.4,3.1,Base Metal - S355
S355-S355,E6018,6.0,164.6,163.9,170.9,166.5,3.9,Base Metal - S355
S355-S355,E6018,6.1,173.7,165.7,168.1,169.2,4.1,Base Metal - S355
S355-S355,E6018,6.2,166.0,166.4,180.3,170.9,8.1,Base Metal - S355
S355-S355,E6018,6.3,173.4,178.8,168.7,173.6,5.1,Base Metal - S355
S355-S355,E6018,6.4,168.2,164.0,168.6,166.9,2.5,Base Metal - S355
